lev,ms,tot,samples,prods
1, 19, 34392, 3, 97
2, 45, 170548, 34, 3259
3, 42, 252363, 39, 2732
2, 21, 64262, 72, 1802
1, 1, 49274, 2, 224
1, 2, 42586, 14, 437
1, 0, 6547, 3, 58
3, 325, 178046, 3921, 7071
1, 0, 8106, 2, 67
1, 1, 24610, 5, 153
3, 82, 295905, 23, 9759
3, 3571, 164826, 29886, 8994
1, 2, 24005, 17, 141
1, 0, 9188, 1, 52
2, 8, 46949, 165, 1684
2, 0, 44214, 1, 56
1, 0, 17774, 2, 76
1, 2, 13711, 22, 232
1, 0, 15661, 1, 65
1, 1, 37383, 8, 145
2, 0, 127877, 1, 80
1, 0, 8057, 5, 101
1, 10, 18919, 24, 158
1, 7, 32053, 57, 393
3, 4150, 220751, 48173, 13576
1, 0, 35033, 1, 72
1, 0, 8203, 1, 81
1, 0, 27714, 2, 117
1, 1, 14060, 1, 267
2, 3, 39957, 4, 854
2, 17, 140772, 3, 1722
2, 15, 48433, 228, 1307
1, 1, 40742, 17, 163
2, 103, 92677, 705, 1624
1, 0, 25540, 1, 68
2, 3, 38630, 58, 417
2, 56, 122844, 339, 2383
1, 0, 10047, 7, 100
1, 1, 12870, 8, 161
2, 0, 46524, 20, 146
2, 17, 41860, 175, 1763
1, 0, 49160, 3, 180
1, 0, 14279, 5, 152
1, 0, 12916, 1, 309
1, 0, 11296, 1, 52
3, 183, 74626, 3028, 3599
1, 0, 7169, 8, 106
1, 0, 45075, 1, 82
1, 2, 14684, 22, 250
1, 0, 20837, 3, 68
1, 0, 12654, 2, 73
1, 2, 40458, 18, 169
2, 81519, 213963, 4500, 1829
1, 24, 15605, 62, 282
1, 1, 9685, 4, 64
2, 6, 41190, 32, 971
1, 0, 17886, 3, 255
3, 3454, 292258, 13921, 4621
1, 2, 8292, 12, 91
1, 0, 45732, 1, 154
2, 322, 37384, 2137, 2227
2, 27, 33180, 305, 1888
2, 0, 106696, 3, 206
2, 3, 31163, 163, 279
2, 14, 24294, 362, 961
1, 0, 8852, 5, 100
1, 0, 29870, 1, 129
2, 150, 34436, 772, 952
2, 1, 77070, 12, 105
3, 5, 228643, 52, 162
1, 0, 17373, 1, 60
1, 0, 8442, 6, 364
3, 12, 159831, 39, 684
1, 0, 6887, 4, 60
2, 11, 49925, 135, 1613
1, 0, 7007, 18, 231
2, 5, 44028, 95, 100
2, 70, 25533, 127, 191
2, 1, 70700, 27, 334
1, 0, 14469, 5, 258
2, 0, 53035, 1, 60
1, 0, 22411, 2, 142
1, 0, 14574, 12, 105
1, 2, 30253, 20, 145
1, 48, 17240, 29, 146
2, 4, 64081, 50, 334
2, 9, 155530, 95, 131
1, 0, 46415, 2, 129
1, 0, 24323, 10, 177
1, 0, 14421, 4, 176
1, 1, 49276, 9, 388
1, 1, 9782, 29, 178
1, 0, 14831, 1, 52
1, 0, 7647, 2, 115
1, 0, 15421, 1, 56
1, 0, 22670, 7, 81
2, 4, 84193, 78, 116
1, 237, 15733, 6, 117
2, 500, 56847, 1303, 1002
1, 0, 25208, 2, 91
1, 1, 14659, 30, 298
1, 0, 11693, 7, 168
1, 0, 14255, 3, 69
1, 0, 11514, 4, 135
1, 0, 11879, 3, 111
1, 0, 8117, 4, 114
1, 0, 49680, 1, 84
1, 0, 22218, 6, 124
1, 0, 13675, 6, 157
1, 0, 8217, 2, 106
1, 0, 15874, 1, 77
2, 26, 43800, 20, 2189
2, 453, 118628, 322, 198
1, 0, 11306, 5, 136
1, 0, 8364, 15, 158
2, 7, 101680, 63, 507
1, 0, 11082, 1, 129
1, 0, 20018, 3, 79
1, 1, 38673, 28, 172
1, 1, 9924, 21, 160
1, 0, 7290, 5, 127
2, 2, 50360, 53, 184
2, 2, 28422, 41, 99
1, 0, 15548, 2, 158
2, 459, 78161, 1172, 1332
1, 0, 10766, 3, 61
1, 0, 17073, 1, 64
1, 2, 29144, 11, 92
1, 0, 14025, 4, 59
3, 41, 247919, 1532, 217
3, 98, 85991, 2116, 1911
1, 0, 39329, 1, 83
2, 38, 89026, 15, 3442
2, 0, 34694, 4, 180
1, 0, 13986, 1, 72
1, 0, 41863, 13, 207
1, 0, 19214, 3, 93
1, 0, 10095, 1, 66
3, 289, 162674, 274, 4542
1, 0, 29161, 4, 117
1, 0, 34485, 7, 161
1, 0, 12098, 1, 50
1, 0, 7270, 3, 59
2, 2, 28768, 14, 807
2, 1, 80944, 17, 127
1, 0, 22358, 2, 137
1, 0, 9646, 2, 108
1, 1, 28350, 6, 178
1, 0, 11872, 3, 133
1, 3, 17181, 33, 181
2, 18421, 56851, 3774, 1316
1, 0, 26361, 1, 68
2, 3, 160151, 59, 142
1, 0, 15390, 1, 107
1, 1, 10448, 5, 104
1, 15, 14445, 30, 145
1, 0, 14451, 6, 77
1, 0, 32866, 1, 146
2, 12, 44517, 1, 1565
1, 0, 10002, 1, 50
2, 238, 128890, 365, 236
1, 0, 12070, 2, 153
1, 0, 27365, 1, 68
1, 0, 10103, 4, 231
3, 169, 202815, 1348, 6350
3, 110, 94766, 980, 3181
1, 0, 16280, 3, 144
1, 1, 8259, 14, 179
1, 0, 13523, 2, 58
1, 11, 49746, 18, 304
3, 1, 131051, 41, 169
1, 0, 14387, 1, 54
1, 3, 25403, 43, 390
3, 70, 79666, 2292, 2074
2, 24, 36968, 114, 1690
2, 0, 92413, 1, 72
2, 7, 74820, 101, 1116
1, 0, 10027, 5, 66
1, 0, 22153, 8, 158
2, 0, 38080, 6, 77
1, 0, 30026, 3, 107
2, 30502, 74798, 1120, 1343
1, 0, 18544, 3, 75
1, 1, 10442, 10, 329
1, 0, 28081, 3, 233
1, 23, 34247, 24, 172
1, 0, 49425, 2, 103
1, 0, 7456, 5, 176
3, 4588, 98209, 6633, 1826
1, 0, 30176, 6, 156
2, 5, 77644, 61, 325
1, 0, 6569, 1, 42
1, 0, 22334, 2, 112
1, 0, 14185, 7, 164
1, 0, 21130, 4, 160
1, 0, 10398, 4, 236
1, 0, 29169, 1, 68
2, 1029, 73993, 1278, 1271
1, 0, 26162, 9, 125
2, 2, 137225, 18, 449
2, 4, 134174, 32, 135
1, 2, 54165, 14, 491
1, 0, 47316, 6, 180
1, 0, 11707, 18, 127
1, 0, 14955, 10, 253
3, 2993, 156806, 17055, 2765
1, 1, 15722, 8, 332
2, 114426, 262616, 2161, 1130
1, 5, 35221, 33, 206
1, 1, 18872, 18, 154
1, 1, 38703, 16, 195
1, 0, 6631, 13, 138
1, 0, 11444, 1, 48
1, 0, 13991, 1, 157
1, 1, 29156, 3, 435
1, 0, 7172, 1, 77
1, 0, 25565, 4, 93
1, 0, 23803, 4, 166
2, 8997, 37033, 1514, 855
2, 2, 146353, 29, 194
1, 0, 13856, 2, 336
2, 1, 33058, 22, 246
1, 0, 30197, 6, 196
1, 0, 6641, 7, 106
1, 0, 23101, 7, 138
2, 4, 112257, 96, 262
1, 0, 9866, 2, 65
2, 39, 53493, 193, 593
1, 1, 32993, 13, 105
2, 52, 31815, 482, 1993
2, 1, 80311, 11, 181
1, 1, 34332, 15, 230
1, 0, 26456, 3, 127
2, 0, 148810, 3, 98
2, 0, 128193, 8, 169
2, 4, 99889, 140, 266
1, 0, 9035, 1, 105
1, 0, 8553, 3, 82
1, 0, 16130, 2, 136
1, 0, 13409, 4, 138
1, 0, 50093, 2, 143
1, 0, 20234, 8, 151
1, 0, 35997, 6, 120
2, 14, 117445, 48, 1832
1, 0, 28382, 5, 128
1, 0, 6682, 4, 65
2, 4, 45108, 76, 973
1, 0, 18680, 1, 86
2, 6, 74994, 70, 1417
2, 1081, 81950, 3540, 1844
1, 0, 25901, 2, 69
1, 0, 46750, 13, 177
2, 7965, 37376, 1489, 855
2, 5, 36416, 156, 189
2, 1259, 90303, 2935, 1795
1, 388, 14767, 27, 132
1, 0, 30503, 3, 253
1, 0, 10455, 13, 223
1, 0, 8003, 1, 130
2, 6, 98511, 117, 479
2, 30, 131763, 28, 2868
1, 0, 14283, 11, 122
1, 0, 7512, 10, 100
1, 0, 17744, 13, 119
2, 0, 129476, 1, 80
1, 0, 36417, 9, 99
2, 64, 46019, 777, 1312
1, 0, 49989, 1, 84
2, 2, 38284, 78, 105
1, 0, 6778, 1, 91
1, 1, 11843, 5, 322
1, 1, 25526, 3, 80
2, 169, 34816, 1384, 1888
1, 0, 49914, 4, 168
3, 733, 195490, 1413, 2152
2, 12, 66829, 115, 1475
1, 0, 14170, 10, 205
1, 0, 12218, 3, 190
1, 0, 26765, 3, 85
1, 2, 19364, 20, 333
2, 11, 24867, 90, 956
1, 0, 39931, 3, 97
1, 0, 42783, 5, 96
1, 3, 17318, 18, 137
3, 19, 212525, 1097, 358
1, 3, 48634, 11, 102
2, 491, 37229, 1955, 1528
1, 0, 44135, 1, 80
1, 3, 9185, 45, 283
1, 1, 17617, 15, 371
1, 0, 24731, 7, 79
1, 0, 9487, 1, 210
2, 3, 29439, 59, 338
1, 0, 16003, 5, 77
1, 0, 12759, 6, 75
1, 1, 14292, 5, 75
2, 816, 45808, 2123, 1662
1, 0, 13015, 1, 113
1, 0, 6683, 4, 64
3, 20, 277142, 73, 2257
1, 0, 17049, 3, 66
1, 0, 19704, 14, 151
2, 357, 125818, 835, 1063
2, 0, 104002, 1, 70
2, 3, 64177, 33, 331
3, 1418, 133246, 7064, 338
1, 0, 24883, 10, 157
1, 0, 29822, 2, 189
2, 0, 33838, 1, 48
2, 5, 115337, 50, 1604
1, 0, 7565, 12, 219
1, 0, 8654, 16, 146
3, 1772, 689166, 16090, 22137
2, 286, 35081, 1172, 335
2, 0, 109614, 12, 180
1, 1, 6755, 14, 99
2, 0, 73176, 8, 148
2, 13, 145358, 54, 1576
1, 1, 24160, 2, 275
1, 0, 22184, 15, 176
1, 0, 14217, 1, 118
1, 1, 15540, 15, 104
2, 0, 43651, 19, 134
1, 1, 8024, 20, 135
1, 0, 14013, 2, 76
2, 356, 27645, 699, 569
3, 283, 148907, 1023, 7437
1, 0, 6933, 1, 110
1, 2, 28880, 42, 414
1, 0, 7359, 8, 69
3, 7, 134849, 330, 537
1, 3, 25751, 16, 333
2, 46, 40514, 545, 1236
2, 3, 37148, 9, 279
1, 0, 7759, 1, 42
1, 0, 11285, 5, 142
2, 63, 34735, 777, 1730
2, 0, 148366, 1, 80
1, 0, 27861, 3, 137
2, 76, 27769, 1509, 1618
1, 1, 17581, 7, 79
3, 129, 248226, 807, 5005
3, 0, 212330, 1, 72
2, 1, 28422, 44, 140
1, 0, 11130, 4, 80
1, 0, 14627, 10, 287
1, 0, 38401, 9, 220
1, 0, 38334, 8, 119
2, 3, 129187, 102, 328
1, 14, 11394, 28, 140
2, 0, 117105, 2, 111
1, 0, 12264, 7, 98
2, 6, 95671, 40, 374
1, 0, 17875, 6, 171
1, 1, 13098, 10, 294
1, 0, 28112, 5, 95
1, 0, 37192, 4, 98
1, 0, 14584, 1, 134
1, 0, 8490, 8, 88
1, 0, 7202, 2, 59
1, 2, 14569, 5, 107
1, 0, 7210, 15, 207
1, 0, 21088, 10, 135
1, 0, 12502, 9, 133
2, 3, 72751, 6, 640
2, 3, 38047, 99, 112
2, 0, 151312, 3, 285
1, 0, 8680, 6, 91
1, 0, 20414, 1, 62
1, 2, 42484, 1, 100
1, 0, 47045, 2, 131
1, 0, 6743, 2, 93
2, 755, 73013, 969, 762
1, 0, 9198, 1, 108
1, 1, 16080, 15, 155
1, 0, 11475, 5, 174
3, 51, 82163, 465, 2672
1, 0, 8765, 3, 70
1, 0, 11128, 10, 161
1, 0, 10159, 3, 69
2, 6, 65524, 114, 171
1, 2, 21822, 18, 147
1, 0, 7586, 1, 67
3, 28, 67372, 993, 2276
1, 0, 8618, 10, 129
2, 3, 66352, 35, 373
2, 4, 26892, 5, 807
2, 0, 110930, 3, 94
1, 0, 11291, 4, 184
2, 0, 63557, 1, 60
1, 1, 36376, 7, 261
1, 4, 27831, 28, 193
1, 1, 10440, 8, 329
1, 0, 33857, 1, 85
1, 0, 8878, 1, 48
1, 0, 17780, 1, 60
1, 0, 44217, 1, 111
1, 0, 17241, 3, 154
