Type , Left         , Old Mid    , Right      , New Mid      , Frequency
DEL  , NAME         , '('        , NAME       ,              , 1321     
INS  , ':'          ,            , NAME       , NEWLINE      , 930      
INS  , NAME         ,            , NAME       , NAME         , 695      
DEL  , NAME         , ')'        , ')'        ,              , 674      
DEL  , NAME         , '('        , STRING     ,              , 573      
DEL  , NAME         , ')'        , NEWLINE    ,              , 559      
DEL  , NEWLINE      , 99         , NAME       ,              , 542      
DEL  , NEWLINE      , 99         , 99         ,              , 522      
INS  , NEWLINE      ,            , NAME       , 98           , 514      
INS  , NEWLINE      ,            , 99         , 99           , 508      
INS  , NEWLINE      ,            , NAME       , NAME         , 508      
DEL  , NAME         , ')'        , EOS        ,              , 389      
DEL  , NEWLINE      , 98         , 'def'      ,              , 383      
DEL  , ')'          , NEWLINE    , NAME       ,              , 378      
DEL  , ')'          , ':'        , NEWLINE    ,              , 350      
INS  , ')'          ,            , EOS        , UNKNOWN_CHAR , 342      
INS  , NEWLINE      ,            , EOS        , 99           , 302      
DEL  , STRING       , ')'        , ')'        ,              , 295      
INS  , '>>'         ,            , NAME       , '>'          , 270      
DEL  , STRING       , ')'        , NEWLINE    ,              , 244      
INS  , STRING       ,            , STRING     , NAME         , 228      
DEL  , NUMBER       , ')'        , ')'        ,              , 224      
DEL  , '('          , ')'        , ')'        ,              , 198      
DEL  , NEWLINE      , 98         , 'if'       ,              , 194      
SUB  , NAME         , STRING     , ']'        , UNKNOWN_CHAR , 193      
INS  , BOS          ,            , NAME       , NAME         , 188      
DEL  , NEWLINE      , 98         , NAME       ,              , 186      
INS  , NEWLINE      ,            , 'def'      , 98           , 184      
INS  , BOS          ,            , NAME       , UNKNOWN_CHAR , 183      
INS  , BOS          ,            , NAME       , '>>'         , 181      
INS  , BOS          ,            , NAME       , NEWLINE      , 174      
SUB  , NAME         , STRING     , ')'        , UNKNOWN_CHAR , 169      
INS  , NEWLINE      ,            , NAME       , 99           , 167      
SUB  , 98           , NAME       , NEWLINE    , 'pass'       , 166      
INS  , '('          ,            , NAME       , UNKNOWN_CHAR , 161      
DEL  , ']'          , ')'        , ')'        ,              , 160      
DEL  , ']'          , ')'        , EOS        ,              , 159      
DEL  , ']'          , ')'        , NEWLINE    ,              , 155      
DEL  , NUMBER       , ','        , NUMBER     ,              , 154      
DEL  , ':'          , NAME       , EOS        ,              , 151      
DEL  , NAME         , '='        , NAME       ,              , 150      
INS  , NEWLINE      ,            , 'class'    , 98           , 142      
INS  , 99           ,            , NAME       , NAME         , 137      
INS  , NAME         ,            , STRING     , NAME         , 135      
INS  , ','          ,            , NAME       , UNKNOWN_CHAR , 134      
SUB  , STRING       , ','        , STRING     , NAME         , 134      
DEL  , NAME         , '('        , ')'        ,              , 128      
INS  , NAME         ,            , NEWLINE    , ':'          , 124      
DEL  , ':'          , NEWLINE    , 98         ,              , 121      
INS  , BOS          ,            , 'class'    , NEWLINE      , 118      
INS  , NAME         ,            , ')'        , ')'          , 118      
INS  , ','          ,            , STRING     , NEWLINE      , 118      
INS  , ')'          ,            , NEWLINE    , ':'          , 117      
SUB  , NEWLINE      , 98         , NAME       , 99           , 117      
INS  , 98           ,            , NAME       , NAME         , 115      
DEL  , ':'          , NAME       , NEWLINE    ,              , 115      
INS  , NAME         ,            , NEWLINE    , UNKNOWN_CHAR , 110      
SUB  , 98           , NAME       , NEWLINE    , 'break'      , 107      
SUB  , 'return'     , NAME       , NEWLINE    , 'False'      , 107      
INS  , 99           ,            , EOS        , UNKNOWN_CHAR , 106      
DEL  , ']'          , NEWLINE    , NAME       ,              , 105      
