SUB  , '('      , UNKNOWN_CHAR , NAME         , STRING     , 57
SUB  , 98       , 'pass'       , NEWLINE      , NAME       , 55
SUB  , '，'      , UNKNOWN_CHAR , NAME         , STRING     , 53
SUB  , STRING   , NAME         , UNKNOWN_CHAR , '，'        , 37
SUB  , '='      , UNKNOWN_CHAR , NAME         , STRING     , 33
SUB  , '['      , UNKNOWN_CHAR , NAME         , STRING     , 32
SUB  , STRING   , '='          , STRING       , ':'        , 23
SUB  , 98       , 'break'      , NEWLINE      , NAME       , 20
SUB  , STRING   , NAME         , UNKNOWN_CHAR , STRING     , 18
SUB  , 'return' , 'False'      , NEWLINE      , NAME       , 18
SUB  , NAME     , '='          , NAME         , '=='       , 18
SUB  , STRING   , NAME         , STRING       , '，'        , 17
SUB  , START    , '>>'         , '>'          , NAME       , 15
SUB  , NAME     , '，'          , NAME         , ':'        , 15
SUB  , NAME     , '='          , NUMBER       , '=='       , 14
SUB  , NEWLINE  , '>>'         , '>'          , NAME       , 13
SUB  , ':'      , UNKNOWN_CHAR , NAME         , STRING     , 13
SUB  , STRING   , '.'          , STRING       , '，'        , 13
SUB  , NAME     , '='          , STRING       , '=='       , 12
SUB  , STRING   , ']'          , END          , '}'        , 11
SUB  , STRING   , UNKNOWN_CHAR , ']'          , '，'        , 10
SUB  , '，'      , UNKNOWN_CHAR , NUMBER       , STRING     , 10
SUB  , ')'      , NEWLINE      , NAME         , ':'        , 10
SUB  , STRING   , '='          , NUMBER       , ':'        , 10
SUB  , NAME     , '，'          , NAME         , 'as'       , 10
SUB  , '，'      , UNKNOWN_CHAR , ']'          , STRING     , 9
SUB  , NAME     , '('          , NUMBER       , '['        , 9
SUB  , STRING   , '='          , '['          , ':'        , 9
SUB  , START    , 'import'     , '.'          , 'from'     , 9
SUB  , ']'      , '='          , NAME         , '=='       , 8
SUB  , NAME     , STRING       , NAME         , '，'        , 7
SUB  , STRING   , ':'          , NUMBER       , '，'        , 7
SUB  , START    , '['          , STRING       , '{'        , 7
SUB  , STRING   , '，'          , STRING       , ':'        , 7
SUB  , START    , 'in'         , '='          , NAME       , 7
SUB  , NEWLINE  , 'break'      , NEWLINE      , NAME       , 7
SUB  , '{'      , UNKNOWN_CHAR , NAME         , STRING     , 7
SUB  , '='      , '['          , STRING       , '{'        , 7
SUB  , 'return' , 'True'       , NEWLINE      , NAME       , 7
SUB  , NEWLINE  , '>>'         , '>'          , 98         , 6
SUB  , NAME     , UNKNOWN_CHAR , NAME         , '.'        , 6
SUB  , ']'      , '='          , STRING       , '=='       , 6
SUB  , NAME     , ':'          , NAME         , '，'        , 6
SUB  , NAME     , UNKNOWN_CHAR , ')'          , '('        , 6
SUB  , STRING   , NUMBER       , UNKNOWN_CHAR , '，'        , 5
SUB  , STRING   , '，'          , NUMBER       , ':'        , 5
SUB  , NAME     , NEWLINE      , NAME         , ':'        , 5
SUB  , STRING   , ':'          , NAME         , '，'        , 5
SUB  , '='      , 'None'       , NEWLINE      , NAME       , 5
SUB  , '='      , 'False'      , NEWLINE      , NAME       , 5
SUB  , NAME     , '->'         , NAME         , '.'        , 5
SUB  , STRING   , ':'          , STRING       , '，'        , 4
SUB  , STRING   , NEWLINE      , NAME         , ':'        , 4
SUB  , '='      , '['          , NAME         , '{'        , 4
SUB  , NUMBER   , ']'          , END          , '}'        , 4
SUB  , START    , UNKNOWN_CHAR , NAME         , STRING     , 4
SUB  , NUMBER   , NEWLINE      , NAME         , ':'        , 4
SUB  , START    , 'from'       , NAME         , 'import'   , 4
SUB  , NAME     , 'if'         , NAME         , 'for'      , 4
SUB  , 'return' , 'None'       , NEWLINE      , NAME       , 4
SUB  , ')'      , ')'          , END          , ']'        , 4
SUB  , START    , 'import'     , NAME         , 'from'     , 4
SUB  , START    , 'pass'       , '='          , NAME       , 4
SUB  , ')'      , UNKNOWN_CHAR , END          , ')'        , 4
SUB  , 99       , NAME         , ':'          , 'except'   , 4
SUB  , NUMBER   , ':'          , NUMBER       , '-'        , 4
SUB  , NAME     , '/'          , NAME         , '.'        , 4
SUB  , '('      , UNKNOWN_CHAR , UNKNOWN_CHAR , STRING     , 4
SUB  , ')'      , ']'          , END          , ')'        , 4
SUB  , START    , '//'         , NAME         , NEWLINE    , 4
SUB  , NEWLINE  , 'pass'       , NEWLINE      , NAME       , 4
SUB  , NAME     , '.'          , NAME         , 'import'   , 4
SUB  , 98       , NAME         , STRING       , 'return'   , 4
SUB  , NUMBER   , STRING       , NUMBER       , '，'        , 3
SUB  , NAME     , UNKNOWN_CHAR , UNKNOWN_CHAR , '.'        , 3
SUB  , NUMBER   , ':'          , NUMBER       , '，'        , 3
SUB  , NAME     , '.'          , NAME         , '，'        , 3
SUB  , STRING   , UNKNOWN_CHAR , ']'          , STRING     , 3
SUB  , '('      , 'class'      , '='          , NAME       , 3
SUB  , NAME     , STRING       , END          , '='        , 3
SUB  , '('      , UNKNOWN_CHAR , '.'          , STRING     , 3
SUB  , '('      , '%'          , NAME         , STRING     , 3
SUB  , NAME     , ':'          , STRING       , '='        , 3
SUB  , '='      , '['          , NUMBER       , '{'        , 3
SUB  , '，'      , UNKNOWN_CHAR , ')'          , STRING     , 3
SUB  , NAME     , 'as'         , NAME         , 'for'      , 3
SUB  , 98       , 'pass'       , UNKNOWN_CHAR , NAME       , 3
SUB  , NUMBER   , ')'          , END          , '}'        , 3
SUB  , ']'      , '.'          , END          , ']'        , 3
SUB  , NAME     , '}'          , END          , ')'        , 3
SUB  , NAME     , ')'          , END          , '}'        , 3
SUB  , ']'      , NAME         , ']'          , '，'        , 3
SUB  , NAME     , STRING       , END          , '('        , 3
SUB  , '+'      , UNKNOWN_CHAR , ')'          , STRING     , 3
SUB  , 98       , 'continue'   , NEWLINE      , NAME       , 3
SUB  , STRING   , NAME         , UNKNOWN_CHAR , ':'        , 3
SUB  , NUMBER   , ':'          , STRING       , '，'        , 3
SUB  , '=='     , UNKNOWN_CHAR , NAME         , STRING     , 3
SUB  , NAME     , NAME         , NEWLINE      , ')'        , 3
SUB  , '，'      , UNKNOWN_CHAR , UNKNOWN_CHAR , STRING     , 3
SUB  , STRING   , '='          , NAME         , ':'        , 3
SUB  , START    , 'import'     , NEWLINE      , NAME       , 3
SUB  , NEWLINE  , 'break'      , NEWLINE      , 99         , 3
SUB  , ':'      , UNKNOWN_CHAR , '}'          , STRING     , 3
SUB  , ':'      , '['          , STRING       , '{'        , 3
SUB  , NAME     , '('          , ':'          , '['        , 3
SUB  , 98       , 'raise'      , NEWLINE      , NAME       , 3
SUB  , '('      , '，'          , ')'          , STRING     , 3
SUB  , NUMBER   , ')'          , END          , ']'        , 3
SUB  , ')'      , NEWLINE      , 99           , ')'        , 3
SUB  , START    , '>>'         , '>'          , STRING     , 3
SUB  , '，'      , '*'          , NAME         , '**'       , 3
SUB  , 98       , '>'          , STRING       , NEWLINE    , 3
SUB  , NEWLINE  , STRING       , END          , 99         , 3
SUB  , NAME     , UNKNOWN_CHAR , NUMBER       , '%'        , 3
SUB  , '('      , NAME         , ':'          , 'lambda'   , 3
SUB  , '='      , 'class'      , '('          , NAME       , 2
SUB  , STRING   , NAME         , UNKNOWN_CHAR , ']'        , 2
SUB  , NUMBER   , STRING       , NAME         , '，'        , 2
SUB  , START    , 'from'       , '='          , NAME       , 2
SUB  , STRING   , ']'          , END          , ')'        , 2
SUB  , '('      , '~'          , '/'          , STRING     , 2
SUB  , '('      , '<'          , NAME         , STRING     , 2
SUB  , NAME     , '-'          , NUMBER       , '，'        , 2
SUB  , NUMBER   , STRING       , NAME         , ':'        , 2
SUB  , STRING   , '，'          , ']'          , '}'        , 2
