Type , Left     , Old Mid      , Right        , New Mid    , Frequency
INS  , ')'      ,              , END          , ')'        , 467      
INS  , NAME     ,              , NAME         , '('        , 456      
INS  , NAME     ,              , END          , ')'        , 198      
INS  , NAME     ,              , STRING       , '('        , 174      
DEL  , NAME     , NAME         , NEWLINE      ,            , 154      
DEL  , START    , '>>'         , '>'          ,            , 142      
INS  , NAME     ,              , NEWLINE      , ')'        , 131      
DEL  , NAME     , NAME         , END          ,            , 124      
DEL  , START    , '>'          , NAME         ,            , 117      
DEL  , ')'      , UNKNOWN_CHAR , END          ,            , 112      
INS  , ')'      ,              , NAME         , NEWLINE    , 110      
INS  , ']'      ,              , END          , ')'        , 103      
INS  , NEWLINE  ,              , NAME         , 98         , 92       
INS  , ')'      ,              , NEWLINE      , ')'        , 92       
INS  , ':'      ,              , END          , NAME       , 89       
INS  , NAME     ,              , NAME         , '='        , 82       
DEL  , NAME     , NAME         , '.'          ,            , 81       
INS  , ')'      ,              , NEWLINE      , ':'        , 80       
DEL  , NAME     , NAME         , ':'          ,            , 80       
INS  , 99       ,              , END          , 99         , 79       
DEL  , NAME     , NAME         , NAME         ,            , 76       
INS  , STRING   ,              , END          , ')'        , 76       
DEL  , ')'      , ')'          , END          ,            , 70       
DEL  , STRING   , NAME         , UNKNOWN_CHAR ,            , 65       
INS  , STRING   ,              , NEWLINE      , ')'        , 62       
DEL  , START    , UNKNOWN_CHAR , NAME         ,            , 60       
DEL  , NAME     , NAME         , '('          ,            , 58       
SUB  , '('      , UNKNOWN_CHAR , NAME         , STRING     , 57       
DEL  , STRING   , NAME         , ')'          ,            , 56       
INS  , NUMBER   ,              , NUMBER       , '，'        , 55       
SUB  , 98       , 'pass'       , NEWLINE      , NAME       , 55       
DEL  , STRING   , NAME         , ']'          ,            , 54       
SUB  , '，'      , UNKNOWN_CHAR , NAME         , STRING     , 53       
INS  , NEWLINE  ,              , NAME         , 99         , 53       
INS  , ']'      ,              , NEWLINE      , ')'        , 52       
INS  , '}'      ,              , END          , '}'        , 48       
DEL  , NAME     , UNKNOWN_CHAR , ']'          ,            , 47       
INS  , START    ,              , NAME         , 'import'   , 45       
INS  , ')'      ,              , NAME         , ')'        , 42       
INS  , NEWLINE  ,              , 'def'        , 98         , 41       
DEL  , ']'      , UNKNOWN_CHAR , END          ,            , 40       
DEL  , ')'      , '.'          , END          ,            , 39       
INS  , NAME     ,              , NAME         , '，'        , 39       
DEL  , STRING   , NAME         , STRING       ,            , 39       
INS  , ')'      ,              , END          , ']'        , 39       
DEL  , NAME     , UNKNOWN_CHAR , ')'          ,            , 38       
SUB  , STRING   , NAME         , UNKNOWN_CHAR , '，'        , 37       
DEL  , NAME     , NAME         , '='          ,            , 37       
INS  , ']'      ,              , END          , '}'        , 36       
INS  , ']'      ,              , END          , ']'        , 35       
INS  , NAME     ,              , NAME         , '.'        , 34       
DEL  , NAME     , UNKNOWN_CHAR , END          ,            , 33       
SUB  , '='      , UNKNOWN_CHAR , NAME         , STRING     , 33       
DEL  , NAME     , ':'          , NEWLINE      ,            , 33       
INS  , '('      ,              , END          , ')'        , 33       
DEL  , NAME     , '('          , NAME         ,            , 33       
DEL  , 99       , 99           , END          ,            , 32       
INS  , '，'      ,              , END          , ']'        , 32       
SUB  , '['      , UNKNOWN_CHAR , NAME         , STRING     , 32       
DEL  , NAME     , NAME         , '，'          ,            , 32       
INS  , STRING   ,              , NEWLINE      , STRING     , 31       
DEL  , NAME     , NAME         , ')'          ,            , 31       
INS  , STRING   ,              , NAME         , '，'        , 31       
INS  , NAME     ,              , NEWLINE      , ':'        , 31       
INS  , STRING   ,              , STRING       , '，'        , 31       
DEL  , STRING   , UNKNOWN_CHAR , ')'          ,            , 31       
DEL  , ']'      , '.'          , END          ,            , 29       
INS  , NAME     ,              , NAME         , 'in'       , 29       
INS  , ']'      ,              , NAME         , NEWLINE    , 28       
INS  , NEWLINE  ,              , 'if'         , 98         , 28       
INS  , START    ,              , NAME         , 'def'      , 27       
INS  , START    ,              , STRING       , '{'        , 27       
DEL  , STRING   , UNKNOWN_CHAR , ']'          ,            , 27       
INS  , NUMBER   ,              , STRING       , '，'        , 27       
INS  , '，'      ,              , END          , '}'        , 27       
DEL  , START    , '**'         , NAME         ,            , 27       
DEL  , ')'      , ':'          , END          ,            , 26       
INS  , ':'      ,              , END          , '...'      , 26       
DEL  , NAME     , NAME         , '['          ,            , 25       
INS  , STRING   ,              , ')'          , ']'        , 25       
DEL  , STRING   , NAME         , '.'          ,            , 25       
INS  , ')'      ,              , 'for'        , ')'        , 25       
INS  , STRING   ,              , END          , '}'        , 24       
INS  , START    ,              , NAME         , 'from'     , 24       
DEL  , ')'      , '**'         , END          ,            , 24       
DEL  , NAME     , '>'          , NEWLINE      ,            , 24       
INS  , START    ,              , NAME         , 'class'    , 24       
INS  , 'for'    ,              , 'in'         , NAME       , 24       
INS  , NAME     ,              , STRING       , '，'        , 23       
SUB  , STRING   , '='          , STRING       , ':'        , 23       
INS  , '}'      ,              , END          , ')'        , 23       
DEL  , NAME     , '.'          , END          ,            , 22       
INS  , ':'      ,              , END          , '('        , 22       
DEL  , STRING   , NAME         , '，'          ,            , 22       
DEL  , START    , NEWLINE      , 98           ,            , 22       
INS  , NAME     ,              , '['          , '('        , 22       
INS  , ']'      ,              , ')'          , ']'        , 21       
DEL  , '，'      , NEWLINE      , STRING       ,            , 20       
INS  , NEWLINE  ,              , 'for'        , 98         , 20       
SUB  , 98       , 'break'      , NEWLINE      , NAME       , 20       
DEL  , ')'      , ')'          , NEWLINE      ,            , 20       
DEL  , 'lambda' , '('          , NAME         ,            , 20       
INS  , 99       ,              , NAME         , 'except'   , 20       
DEL  , ')'      , ':'          , NEWLINE      ,            , 20       
DEL  , ')'      , UNKNOWN_CHAR , NEWLINE      ,            , 20       
DEL  , NUMBER   , UNKNOWN_CHAR , END          ,            , 19       
DEL  , NEWLINE  , 98           , NAME         ,            , 19       
DEL  , '.'      , '.'          , NAME         ,            , 19       
DEL  , NUMBER   , NUMBER       , '，'          ,            , 19       
INS  , NAME     ,              , STRING       , '='        , 19       
INS  , NAME     ,              , NAME         , 'import'   , 19       
INS  , '，'      ,              , END          , ')'        , 18       
INS  , NEWLINE  ,              , 'return'     , 99         , 18       
INS  , '}'      ,              , '{'          , '，'        , 18       
SUB  , STRING   , NAME         , UNKNOWN_CHAR , STRING     , 18       
SUB  , 'return' , 'False'      , NEWLINE      , NAME       , 18       
INS  , '}'      ,              , STRING       , '，'        , 18       
SUB  , NAME     , '='          , NAME         , '=='       , 18       
INS  , '='      ,              , NAME         , 'lambda'   , 18       
INS  , '('      ,              , NAME         , '('        , 18       
