Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Relevant edit actions, Saturation, Seq2Parse matched
6, 3, 23, 72, 1, 25, 61, 0.004893926978056997, 0
15, 2, 41, 562, 1, 164, 111, 0.044713038169757524, 0
16, 1, 39, 946, 1, 266, 101, 0.22277497277497277, 1
42, 1, 37, 365, 1, 106, 412, 0.0018383563977071454, 0
17, 1, 7, 14, 1, 6, 149, 0.02081992889366036, 0
25, 3, 40, 363, 1, 114, 230, 0.006977149660755622, 0
65, 1, 69, 1973, 1, 711, 473, 0.0010196123446088543, 0
217, 2, 8, 89, 1, 41, 2142, 8.176866839265111E-6, 0
182, 2, 13, 234, 1, 101, 2010, 1.1016422383163374E-5, 0
56, 1, 21, 72, 1, 23, 394, 0.003643089259630772, 0
61, 2, 47, 698, 1, 245, 470, 0.001308059605924772, 0
262, 1, 4, 10, 1, 7, 2320, 1.2634085229826384E-5, 0
28, 2, 82, 515, 1, 187, 223, 0.020595595090111017, 0
18, 1, 103, 750, 1, 234, 92, 0.2113202693639813, 1
40, 3, 0, 0, 1, 1, 283, 0.01202653173831514, 0
555, 3, 0, 0, 1, 1, 4847, 7.716279842946269E-7, 0
15, 3, 5, 7, 1, 3, 99, 0.24062408638607458, 0
120, 3, 0, 0, 1, 1, 1176, 1.4347171676828114E-4, 0
61, 3, 45, 1120, 1, 384, 434, 0.0021307680450271395, 0
88, 2, 59, 775, 1, 289, 686, 3.240837327683436E-4, 0
53, 1, 39, 1446, 1, 448, 260, 0.011749054070967912, 1
78, 1, 0, 0, 1, 1, 667, 8.082236433762581E-4, 0
73, 1, 68, 516, 1, 187, 456, 9.349194479399172E-4, 1
124, 2, 35, 676, 1, 261, 960, 1.450478717836798E-4, 0
42, 1, 18, 431, 1, 152, 234, 0.01785150480653162, 0
9, 1, 162, 845, 1, 282, 61, 0.8499590275880907, 1
39, 2, 56, 245, 1, 99, 275, 0.012418329904610897, 1
25, 1, 42, 407, 1, 117, 98, 0.05570176722740379, 0
