Snippet length, Patch size, Time to find human repair (ms), First valid repair, Total repairs sampled, Distinct valid repairs, Rank of human repair, Throughput, Saturation, Seq2Parse matched
26, 1, 4, 1, 63, 3, 1, 12, 1.2747694791858471E-5, 0
147, 1, 539, 18, 3141, 11, 0, 5, 1.5992189628425645E-6, 0
47, 1, 512, 8, 8036, 16, 0, 15, 2.0385622098866715E-4, 1
42, 2, 49, 6, 1455, 8, 0, 29, 2.075467596430504E-5, 0
26, 1, 19, 0, 1039, 12, 2, 51, 2.1023579188477704E-4, 0
21, 1, 26, 1, 1260, 19, 9, 46, 9.909680342025538E-4, 0
11, 3, 4, 2, 362, 3, 1, 72, 0.0030141799681929074, 0
109, 1, 789, 64, 8931, 6, 0, 11, 2.039868597927736E-5, 0
15, 2, 332, 0, 24346, 296, 178, 73, 0.019147704571980458, 0
34, 2, 8, 3, 978, 4, 0, 108, 8.898550518927435E-5, 1
57, 2, 410, 43, 9825, 6, 1, 23, 9.813900086446226E-5, 1
13, 2, 167, 1, 7767, 58, 23, 46, 0.005628003938950613, 0
17, 1, 1, 0, 48, 2, 0, 24, 5.047881257006564E-5, 1
60, 1, 64, 1, 1723, 14, 0, 26, 3.9730576423331756E-5, 0
56, 1, 116, 2, 3532, 14, 6, 30, 1.692156409485562E-4, 0
47, 2, 22, 1, 907, 4, 1, 39, 5.5130631636570124E-5, 0
316, 2, 4235, 1158, 61739, 35, 0, 14, 4.279759890190602E-6, 0
41, 2, 24, 0, 1942, 8, 2, 77, 1.398949995101514E-4, 0
55, 1, 138, 67, 7227, 2, 0, 51, 4.956491714099682E-5, 1
70, 1, 48, 1, 828, 9, 0, 16, 8.488123700256058E-6, 1
16, 2, 77, 0, 3464, 15, 3, 44, 0.007489098216582818, 1
23, 3, 1258, 325, 72348, 128, 109, 57, 0.023567697517260924, 0
15, 1, 8, 0, 225, 6, 3, 25, 9.288539181122386E-4, 0
8, 3, 266, 0, 16520, 127, 2, 61, 1.1453133666112036, 1
23, 1, 72, 2, 2316, 17, 6, 31, 9.13938268915681E-4, 0
47, 2, 38, 15, 2522, 3, 0, 64, 6.996570792562773E-5, 0
20, 1, 144, 1, 3042, 11, 0, 20, 1.9390926041019265E-4, 1
48, 3, 1617, 12, 46786, 73, 67, 28, 0.001611698701701702, 0
27, 1, 230, 2, 5804, 143, 2, 25, 4.1810019421056573E-4, 0
28, 1, 313, 5, 9735, 24, 2, 31, 0.00245249070774322, 1
58, 2, 162, 1, 4893, 15, 1, 30, 5.6154244059840986E-5, 0
161, 1, 1095, 16, 13331, 10, 3, 12, 8.689563847963336E-6, 1
11, 2, 99, 11, 4665, 4, 1, 46, 0.003569190654458734, 0
109, 1, 378, 1, 4136, 19, 2, 10, 2.2294276144041075E-5, 0
61, 2, 408, 59, 19523, 13, 4, 47, 3.042842625669416E-4, 0
75, 2, 650, 203, 26100, 20, 0, 40, 1.5076291319442877E-4, 1
40, 1, 228, 0, 7557, 30, 0, 33, 6.875904526741782E-4, 0
78, 1, 632, 2, 9902, 69, 44, 15, 5.5389272444901445E-5, 1
33, 2, 342, 6, 14999, 68, 56, 43, 0.0038511320130259104, 0
40, 2, 840, 336, 39490, 3, 0, 46, 9.263277620664864E-4, 0
