Snippet length, Patch size, Time to find human repair (ms), First valid repair, Total hypotheses checked, Distinct valid repairs, Rank of human repair, Throughput, Saturation
21, 1, 18, 2, 327, 9, 1, 17, 2.5717979935256755E-4
11, 3, 80, 1, 2411, 2, 0, 29, 0.020075104705284806
26, 1, 98, 0, 7424, 53, 14, 74, 0.0015022045418215445
47, 1, 1945, 2, 90861, 172, 5, 46, 0.002304950235845108
6, 3, 494, 0, 41654, 136, 12, 84, 0.18962942729673132
60, 1, 1991, 5, 119452, 153, 36, 59, 0.0027544380817874784
34, 2, 581, 3, 8836, 21, 1, 15, 8.039631123235462E-4
147, 1, 12952, 8, 378614, 367, 27, 29, 1.9276876421447776E-4
182, 2, 27853, 42, 1470765, 876, 14, 52, 1.8129559327268667E-4
57, 2, 5056, 241, 224155, 12, 1, 44, 0.0022390175815545587
56, 1, 13, 1, 1219, 9, 6, 87, 5.840143440438562E-5
13, 2, 1484, 1, 101668, 310, 135, 68, 0.07366910061352272
17, 1, 12, 1, 662, 7, 2, 50, 6.961869566954887E-4
47, 2, 930, 5, 26765, 31, 5, 28, 0.0016268702930019839
42, 2, 12, 1, 437, 8, 0, 33, 6.233534980344537E-6
109, 1, 8403, 19, 506911, 365, 73, 60, 0.001157800728747225
28, 1, 237, 2, 23937, 41, 23, 100, 0.0060303307725988135
15, 2, 706, 0, 115983, 845, 478, 164, 0.09121860754834508
41, 2, 430, 1, 18317, 66, 38, 42, 0.0013194936694271076
55, 1, 5152, 14, 264352, 141, 19, 51, 0.0018130047012670251
66, 1, 4033, 4, 107267, 208, 25, 26, 4.1047185344253375E-4
16, 2, 40, 0, 2137, 13, 2, 52, 0.004620150949433453
23, 1, 306, 0, 20420, 30, 14, 66, 0.008058125842512177
70, 1, 149, 1, 4185, 59, 8, 27, 4.290192957194638E-5
58, 2, 2768, 6, 193799, 99, 40, 69, 0.002224123512068899
15, 1, 0, 0, 13, 2, 0, 13, 5.3667115268707116E-5
23, 3, 2147, 126, 286402, 201, 170, 133, 0.09329678366144971
47, 2, 24, 1, 1241, 5, 1, 49, 3.442801091820143E-5
27, 1, 1874, 1, 108599, 1299, 99, 57, 0.007823098378889254
48, 3, 4066, 2, 322641, 144, 127, 79, 0.011114437669724678
11, 2, 633, 7, 25773, 14, 5, 40, 0.019718917628588413
20, 1, 359, 1, 11244, 47, 5, 31, 7.167375818712052E-4
161, 1, 13321, 7, 880331, 327, 243, 66, 5.738273521747365E-4
8, 3, 287, 0, 30006, 173, 3, 104, 2.0802828618968388
61, 2, 2084, 6, 133227, 43, 6, 63, 0.0020764677277573082
33, 2, 1013, 3, 122008, 228, 186, 120, 0.03132668275520136
75, 2, 6353, 19, 627444, 131, 7, 98, 0.003624340433194068
109, 1, 16, 1, 301, 16, 0, 17, 1.6224799611596625E-6
79, 1, 7446, 11, 648838, 250, 175, 87, 0.006157284114993111
40, 1, 1089, 1, 55917, 219, 43, 51, 0.005087732611113143
78, 1, 1080, 1, 36308, 185, 105, 33, 2.0309772812860855E-4
177, 2, 17549, 2691, 2022921, 124, 6, 115, 0.002480122099450444
11, 1, 0, 0, 5, 2, 0, 5, 8.957780190406575E-6
16, 2, 189, 1, 4610, 11, 2, 24, 0.004999029472586125
22, 1, 2295, 84, 102478, 59, 14, 44, 0.014180864067095284
94, 1, 4738, 3, 343237, 321, 156, 72, 0.0011975077539950224
139, 1, 16701, 32, 843778, 671, 77, 50, 3.0793886969690803E-4
40, 2, 4953, 9, 171783, 23, 0, 34, 0.004029560950900664
54, 1, 994, 7, 55595, 350, 36, 55, 0.0034602487470407855
21, 2, 1490, 5, 56794, 153, 3, 38, 0.01575362281454335
31, 2, 3419, 253, 472100, 114, 101, 138, 0.041262162439720404
112, 2, 12124, 23, 569995, 440, 83, 47, 4.8772307300311806E-4
7, 1, 10, 1, 431, 3, 1, 39, 0.011630103348714213
32, 3, 3310, 33, 450582, 165, 48, 136, 0.04512672493180895
43, 2, 3135, 3, 269038, 774, 30, 85, 0.01844423402248809
54, 1, 6324, 3, 782208, 3154, 474, 123, 0.014912301806345132
42, 2, 989, 8, 52275, 32, 0, 52, 9.427091952855775E-4
172, 3, 17416, 2, 1082239, 363, 16, 62, 7.017801056212327E-4
91, 1, 3076, 4, 77213, 200, 20, 25, 1.079423356282232E-4
38, 1, 103, 1, 3354, 41, 8, 32, 1.2888971006655536E-4
58, 3, 5651, 706, 471424, 23, 3, 83, 0.007746893064910088
41, 1, 2312, 8, 181814, 543, 138, 78, 0.0037906125931758505
52, 2, 5755, 8, 869714, 371, 150, 151, 0.03342193956494458
20, 1, 1463, 0, 104793, 33, 11, 71, 0.016197660518254654
33, 1, 854, 2, 22386, 138, 19, 26, 8.602638788163113E-4
14, 1, 1693, 1, 35376, 58, 22, 20, 0.01980380927749349
14, 1, 1479, 4, 35087, 67, 23, 23, 0.019642024426713423
14, 1, 1454, 2, 31687, 39, 14, 21, 0.017738673241065584
20, 1, 5432, 5, 85764, 78, 27, 15, 0.013256383123754373
142, 2, 2572, 3, 51635, 26, 9, 20, 5.205025805179262E-5
13, 2, 653, 1, 47971, 356, 222, 73, 0.013840837438324155
14, 1, 1420, 2, 35889, 58, 23, 25, 0.02009099138285741
15, 3, 6769, 22, 191824, 42, 1, 28, 0.034397162929805394
40, 1, 768, 0, 72720, 419, 65, 94, 0.005304436506106558
30, 2, 87, 1, 5906, 72, 24, 67, 0.0018466181343153615
26, 3, 2357, 96, 252562, 114, 0, 107, 0.03286693693791001
147, 2, 14067, 58, 781600, 173, 14, 55, 3.5630559256469437E-4
8, 2, 1, 0, 119, 3, 0, 59, 7.417380355784933E-4
70, 1, 1207, 2, 65903, 60, 34, 54, 0.0017168204193024456
49, 2, 600, 2, 11072, 11, 0, 18, 5.247137722389639E-4
124, 2, 13701, 1170, 952391, 121, 2, 69, 8.337783614865101E-4
108, 1, 845, 1, 18883, 403, 32, 22, 8.949310518492E-5
15, 1, 0, 0, 10, 3, 0, 10, 1.191165364722923E-5
48, 1, 312, 0, 7584, 70, 20, 24, 2.4653329618430235E-4
38, 1, 1763, 3, 192720, 168, 67, 109, 0.02433210751125038
19, 1, 755, 12, 46198, 15, 1, 61, 0.020866022592286464
13, 1, 803, 17, 56681, 16, 4, 70, 0.07439007904790779
30, 1, 313, 1, 13287, 38, 2, 42, 0.0047062898942811515
12, 1, 16, 0, 1930, 15, 5, 113, 0.006047805868565197
48, 1, 3236, 2, 186539, 328, 57, 57, 0.0015256262085504096
7, 2, 0, 0, 14, 2, 0, 14, 3.457302316392552E-4
83, 1, 5089, 12, 233576, 95, 39, 45, 8.149152659740684E-4
19, 2, 1271, 7, 148632, 191, 27, 116, 0.02224961992178682
19, 2, 393, 4, 33793, 34, 4, 85, 0.12115877597117401
43, 2, 4539, 5, 204149, 208, 24, 44, 0.004474292788152059
69, 2, 3764, 2, 218416, 203, 35, 58, 0.015347585398769781
46, 2, 2492, 14, 112977, 171, 8, 45, 0.0023749964630574816
17, 1, 381, 4, 31760, 35, 12, 83, 0.03340014765052677
11, 1, 0, 0, 6, 2, 0, 6, 6.121206000006121E-6
44, 2, 2427, 4, 110223, 223, 18, 45, 8.292954994676537E-4
13, 2, 16, 0, 496, 7, 0, 29, 0.001160030404022686
36, 2, 10, 0, 600, 12, 3, 54, 3.520941001997606E-5
72, 1, 9860, 28, 313401, 95, 18, 31, 0.0019009271472662608
