Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Total hypotheses checked, Relevant edit actions, Cumultative Rank, Saturation
26, 1, 68, 870, 1, 306, 29599, 171, 169, 0.005989190764193951
25, 3, 53, 1119, 1, 327, 698383, 230, 661, 0.057901073144249894
42, 1, 59, 1751, 1, 495, 2047376, 412, 410, 0.029418070439043195
15, 2, 66, 1644, 1, 460, 541693, 111, 182, 0.4032824353600703
16, 1, 59, 2503, 1, 685, 1597880, 101, 93, 1.581902781902782
17, 1, 32, 123, 1, 40, 344676, 149, 129, 0.10560431197079272
65, 1, 128, 12815, 1, 4091, 1760675, 473, 439, 0.016708294226240594
217, 2, 50, 857, 1, 343, 1495544, 2142, 4196, 1.5231627108414794E-4
61, 2, 107, 3771, 1, 1221, 2057623, 470, 890, 0.019903080163586093
40, 3, 0, 0, 1, 1, 2873962, 283, 522, 0.12770000889557404
56, 1, 38, 128, 1, 37, 2727490, 394, 316, 0.044820741764550844
262, 1, 22, 253, 1, 104, 1729928, 2320, 2259, 1.3865593545222356E-4
28, 2, 115, 3136, 1, 951, 927283, 223, 408, 0.08437090614358475
73, 1, 132, 6167, 1, 1921, 1777652, 456, 440, 0.01883029035202005
78, 1, 43, 390, 1, 115, 2035891, 667, 662, 0.006881438812023226
18, 1, 179, 3690, 1, 1078, 1074048, 92, 90, 1.4096172548340231
120, 3, 6, 55, 1, 17, 2817277, 1176, 3399, 0.0017351865812743582
316, 2, 32, 876, 1, 298, 1483480, 2435, 4837, 1.0283513179513684E-4
61, 3, 99, 5803, 1, 1795, 2937369, 434, 1028, 0.03609862616449991
53, 1, 92, 1896, 1, 581, 5089120, 260, 258, 0.29178527151530226
555, 3, 0, 0, 1, 1, 2194898, 4847, 13830, 1.928299483635969E-5
15, 3, 12, 32, 1, 9, 1071770, 99, 243, 1.1271182697545679
124, 2, 89, 4735, 1, 1629, 2409354, 960, 1793, 0.002728925599112118
42, 1, 48, 2224, 1, 687, 3530829, 234, 160, 0.27793357908018346
9, 1, 258, 2407, 1, 721, 757091, 61, 58, 3.4466493672038605
39, 2, 109, 2969, 1, 920, 1496517, 275, 485, 0.07248398662144376
25, 1, 62, 892, 1, 253, 274385, 98, 95, 0.2975398485543479
25, 1, 60, 993, 1, 280, 307329, 98, 96, 0.33326393249033
71, 1, 83, 694, 1, 240, 3326916, 439, 432, 0.03950270502403742
28, 1, 53, 504, 1, 149, 807497, 162, 87, 0.19229035451329166
88, 2, 115, 6461, 1, 2025, 1808968, 686, 1308, 0.005619849710009538
33, 1, 49, 239, 1, 78, 2211848, 182, 95, 0.3709484472006981
21, 3, 154, 5096, 1, 1549, 1810420, 139, 334, 0.6838860192486251
111, 3, 5, 15, 1, 5, 3226049, 1024, 2329, 0.0030103661428743664
151, 3, 54, 589, 1, 214, 1844130, 1202, 3409, 0.0010636549109990288
77, 1, 0, 0, 1, 1, 2576709, 513, 485, 0.019160482171139546
13, 1, 95, 817, 1, 237, 574472, 51, 36, 4.50389651117209
51, 1, 72, 3183, 1, 883, 1462424, 300, 292, 0.05452614984475179
17, 1, 118, 2850, 1, 910, 251714, 134, 132, 0.10618787331904918
146, 2, 35, 584, 1, 212, 2496183, 1215, 1288, 0.001393999041988548
54, 2, 111, 1721, 1, 570, 1017960, 442, 868, 0.011842108523508725
64, 2, 30, 331, 1, 111, 828974, 351, 659, 0.019279429087733457
59, 3, 0, 0, 1, 1, 3430083, 488, 1332, 0.02963637334944407
50, 1, 46, 814, 1, 242, 2616033, 425, 404, 0.03423892847955004
45, 1, 167, 12915, 1, 3761, 2040739, 284, 278, 0.08972032738346856
155, 2, 24, 281, 1, 117, 1826072, 1350, 1749, 7.432929112488685E-4
617, 1, 19, 186, 1, 80, 1241279, 5240, 5181, 8.630606347184907E-6
40, 2, 103, 2331, 1, 737, 521469, 315, 600, 0.016790137592007537
83, 3, 66, 2824, 1, 857, 2639901, 453, 1205, 0.028524001318895556
22, 2, 83, 489, 1, 143, 827272, 117, 207, 0.5254295419151104
95, 2, 47, 551, 1, 167, 2126303, 734, 1437, 0.005391633158169022
56, 2, 96, 2561, 1, 818, 2379603, 393, 554, 0.03940370003522418
84, 2, 51, 466, 1, 137, 2217861, 380, 743, 0.04063210218958284
39, 2, 134, 6335, 1, 2146, 620904, 328, 651, 0.017703170803077543
18, 2, 305, 11137, 1, 3532, 1786442, 186, 358, 0.28062082599294536
103, 2, 51, 682, 1, 215, 2674703, 728, 1390, 0.0069514362325057396
348, 2, 21, 483, 1, 150, 3242779, 2326, 4644, 2.579061193257813E-4
46, 3, 61, 834, 1, 251, 1433992, 286, 816, 0.061728489126534856
25, 2, 90, 2990, 1, 849, 1014006, 235, 280, 0.07880123973666553
68, 3, 59, 660, 1, 193, 2537961, 491, 1415, 0.021528287612163213
66, 3, 49, 672, 1, 203, 1710969, 364, 1003, 0.03567173395851525
112, 2, 58, 684, 1, 273, 879548, 824, 1616, 0.0015759122189652579
53, 2, 19, 124, 1, 38, 3544759, 285, 547, 0.15420548022198746
23, 1, 212, 12461, 1, 3651, 1509619, 140, 138, 0.5580683595562274
24, 1, 175, 5021, 1, 1669, 1420816, 206, 177, 0.1641166383959073
64, 1, 92, 1606, 1, 494, 1480622, 576, 559, 0.007774719226719411
37, 1, 85, 1677, 1, 488, 1401261, 224, 205, 0.1257918766510475
