Snippet length, Patch size, Time to find human repair (ms), First valid repair, Total repairs sampled, Distinct valid repairs, Throughput
15, 2, 156, 128, 6812, 6, 43
25, 3, 518, 338, 38222, 4, 73
47, 1, 4067, 2302, 240661, 57, 59
109, 1, 6935, 5625, 172333, 27, 24
26, 1, 155, 130, 3581, 50, 22
42, 2, 157, 0, 199, 1, 1
42, 1, 612, 569, 8551, 9, 13
60, 1, 1842, 1058, 93370, 156, 50
56, 1, 1483, 770, 89467, 23, 60
34, 2, 662, 0, 56970, 1, 85
26, 1, 266, 213, 9513, 106, 35
13, 2, 149, 139, 3307, 10, 22
15, 2, 159, 142, 4349, 31, 27
65, 1, 905, 634, 36494, 60, 40
47, 2, 573, 0, 9980, 1, 17
6, 3, 68, 58, 3534, 15, 51
61, 2, 420, 360, 11723, 16, 27
217, 2, 5477, 5291, 33959, 10, 6
21, 1, 153, 140, 2817, 3, 18
17, 1, 125, 124, 1836, 1, 14
56, 1, 1047, 897, 28066, 17, 26
41, 2, 261, 0, 220, 1, 0
57, 2, 3597, 0, 119824, 1, 33
17, 1, 108, 103, 2729, 2, 25
28, 1, 513, 439, 17367, 7, 33
73, 1, 1268, 725, 37264, 22, 29
88, 2, 357, 0, 188, 1, 0
78, 1, 8769, 6744, 302396, 50, 34
18, 1, 4, 4, 188, 1, 37
23, 1, 402, 288, 23120, 15, 57
16, 2, 25, 0, 163, 1, 6
124, 2, 2077, 1803, 30637, 15, 14
66, 1, 909, 683, 45217, 85, 49
15, 1, 24, 0, 43, 1, 1
39, 2, 122, 99, 4657, 9, 37
70, 1, 743, 679, 8197, 83, 11
48, 3, 6610, 4936, 479786, 3, 72
27, 1, 5922, 3831, 626546, 328, 105
47, 2, 755, 0, 61973, 1, 81
11, 2, 519, 261, 60909, 182, 117
42, 1, 411, 400, 1679, 17, 4
25, 1, 89, 71, 4076, 10, 45
71, 1, 678, 660, 3515, 2, 5
25, 1, 80, 67, 3195, 9, 39
20, 1, 231, 223, 2416, 14, 10
8, 3, 5146, 1763, 1592730, 104, 309
28, 1, 338, 308, 16781, 4, 49
54, 2, 390, 371, 3698, 5, 9
28, 2, 65, 64, 905, 1, 13
33, 1, 325, 276, 16934, 5, 51
77, 1, 764, 729, 5016, 3, 6
109, 1, 986, 829, 21627, 58, 21
13, 1, 14, 12, 440, 4, 29
33, 2, 893, 696, 27207, 15, 30
51, 1, 751, 635, 12119, 5, 16
40, 1, 378, 374, 598, 2, 1
61, 2, 1379, 0, 70490, 1, 51
50, 1, 556, 531, 6667, 5, 11
40, 2, 5203, 3551, 425418, 1, 81
11, 1, 22, 20, 688, 13, 29
78, 1, 705, 646, 11181, 6, 15
45, 1, 561, 418, 23049, 54, 41
17, 1, 18, 16, 463, 7, 24
16, 2, 222, 100, 21222, 7, 95
54, 1, 2126, 1293, 99564, 69, 46
7, 1, 75, 0, 7223, 1, 95
18, 2, 1420, 821, 127096, 320, 89
25, 2, 1352, 708, 109733, 70, 81
84, 2, 328, 323, 3083, 2, 9
39, 2, 18, 0, 105, 1, 5
64, 1, 4140, 2922, 194021, 40, 46
22, 1, 767, 595, 50863, 2, 66
42, 2, 394, 0, 2276, 1, 5
43, 2, 232, 214, 1850, 14, 7
46, 3, 1193, 924, 59570, 73, 49
23, 1, 374, 216, 27673, 24, 73
112, 2, 5953, 4887, 174471, 20, 29
38, 1, 324, 321, 1372, 2, 4
22, 2, 66, 55, 2582, 5, 38
53, 2, 476, 0, 9654, 1, 20
54, 1, 4336, 2668, 215211, 443, 49
112, 2, 922, 0, 962, 1, 1
13, 2, 38, 37, 324, 9, 8
23, 1, 60, 55, 1483, 21, 24
47, 2, 507, 468, 8979, 11, 17
21, 2, 626, 274, 74039, 27, 118
551, 2, 7913, 0, 39537, 1, 4
91, 1, 762, 751, 3065, 8, 4
37, 1, 255, 254, 532, 1, 2
130, 2, 2708, 2531, 48841, 11, 18
53, 1, 8525, 5646, 453309, 21, 53
62, 2, 642, 0, 2936, 1, 4
20, 1, 301, 277, 11200, 4, 37
20, 1, 787, 573, 92854, 22, 117
74, 2, 582, 565, 2884, 3, 4
41, 1, 1520, 1067, 71323, 84, 46
30, 2, 155, 140, 2259, 2, 14
14, 1, 521, 404, 59218, 16, 113
14, 1, 113, 108, 3103, 3, 27
13, 1, 899, 349, 94702, 17, 105
14, 3, 8737, 3594, 1623123, 262, 185
14, 1, 200, 183, 8192, 6, 40
24, 1, 310, 293, 4991, 34, 16
21, 2, 49, 0, 230, 1, 4
40, 1, 1201, 849, 74009, 334, 61
42, 1, 275, 270, 2185, 2, 7
91, 3, 6142, 5132, 187679, 123, 30
37, 1, 1850, 1288, 89484, 130, 48
14, 1, 389, 269, 60786, 24, 155
37, 2, 85, 75, 1969, 3, 22
33, 1, 342, 341, 676, 1, 1
14, 1, 64, 52, 4391, 15, 67
11, 1, 69, 0, 189, 1, 2
48, 1, 311, 291, 3068, 8, 9
66, 1, 1673, 1185, 71937, 19, 42
70, 1, 898, 603, 37236, 9, 41
57, 1, 1331, 650, 42822, 24, 32
343, 2, 8680, 8310, 66102, 16, 7
49, 2, 885, 869, 31224, 2, 35
49, 1, 1537, 733, 57680, 53, 37
147, 2, 6969, 6496, 102608, 1, 14
58, 2, 578, 527, 9687, 6, 16
8, 2, 2, 0, 117, 1, 39
38, 1, 353, 314, 11420, 6, 32
53, 2, 341, 332, 1726, 1, 5
108, 1, 2153, 1944, 27548, 49, 12
15, 1, 22, 21, 463, 7, 20
28, 2, 149, 144, 2380, 1, 15
26, 1, 235, 208, 3666, 13, 15
153, 2, 3758, 3336, 85034, 20, 22
109, 2, 535, 492, 7875, 7, 14
13, 1, 296, 150, 45793, 4, 154
104, 2, 1535, 1366, 19864, 14, 12
69, 3, 2360, 2022, 65652, 56, 27
126, 1, 1148, 1020, 9953, 57, 8
69, 1, 464, 460, 801, 6, 1
30, 1, 345, 267, 16322, 10, 47
19, 1, 1055, 643, 208133, 11, 197
71, 1, 3000, 2445, 65058, 27, 21
48, 1, 1085, 1019, 19081, 11, 17
89, 2, 896, 886, 3366, 2, 3
7, 2, 0, 0, 42, 1, 42
25, 1, 3095, 1556, 305438, 343, 98
39, 1, 296, 295, 421, 1, 1
12, 1, 113, 75, 9467, 22, 83
14, 3, 517, 328, 35059, 29, 67
14, 1, 183, 143, 10852, 32, 58
51, 2, 411, 403, 3636, 4, 8
43, 2, 1887, 1221, 123626, 11, 65
112, 2, 1658, 1595, 9716, 7, 5
19, 2, 173, 0, 679, 1, 3
83, 1, 1000, 912, 15779, 1, 15
21, 1, 482, 240, 25472, 18, 52
28, 1, 300, 212, 10603, 47, 35
46, 2, 5038, 0, 389734, 1, 77
110, 2, 1232, 1176, 12461, 13, 10
44, 2, 859, 0, 23218, 1, 26
19, 2, 65, 0, 3001, 1, 45
17, 1, 421, 260, 40371, 5, 95
41, 2, 157, 0, 14, 1, 0
13, 2, 323, 122, 35767, 12, 110
11, 1, 30, 0, 100, 1, 3
22, 1, 89, 80, 1195, 2, 13
203, 2, 3981, 3716, 57592, 16, 14
13, 1, 38, 35, 725, 1, 18
36, 2, 33, 0, 116, 1, 3
32, 1, 674, 477, 47336, 93, 70
160, 1, 2461, 2107, 47646, 25, 19
23, 1, 996, 596, 62663, 20, 62
67, 2, 363, 351, 2921, 7, 8
8, 3, 1022, 435, 133412, 96, 130
31, 2, 94, 94, 277, 1, 2
29, 1, 119, 104, 2348, 35, 19
21, 2, 26, 0, 453, 1, 16
60, 2, 653, 0, 7125, 1, 10
15, 1, 267, 168, 23268, 8, 86
37, 1, 791, 746, 9787, 49, 12
144, 2, 1456, 1368, 16321, 9, 11
49, 2, 532, 501, 6408, 9, 12
23, 1, 217, 209, 1444, 12, 6
32, 2, 115, 102, 2711, 3, 23
21, 3, 1658, 0, 122778, 1, 74
203, 2, 3175, 3031, 30356, 11, 9
21, 2, 156, 0, 1459, 1, 9
27, 1, 343, 340, 2307, 2, 6
182, 2, 4781, 4536, 33666, 8, 7
17, 1, 118, 114, 1421, 12, 11
19, 3, 1257, 492, 105859, 29, 84
66, 1, 1489, 1242, 39568, 4, 26
50, 1, 651, 594, 12412, 37, 19
95, 2, 1341, 1158, 36228, 22, 26
20, 2, 179, 0, 3310, 1, 18
17, 1, 160, 158, 2129, 1, 13
32, 2, 771, 0, 69387, 1, 89
11, 1, 92, 90, 583, 7, 6
39, 3, 1929, 1430, 100547, 167, 52
34, 1, 1626, 1366, 73916, 50, 45
16, 1, 33, 32, 131, 1, 3
46, 1, 368, 299, 8845, 26, 23
22, 1, 170, 168, 620, 2, 3
25, 2, 454, 334, 17420, 9, 38
18, 1, 243, 185, 17091, 9, 70
27, 2, 228, 0, 2624, 1, 11
23, 1, 82, 74, 1603, 2, 19
58, 2, 689, 408, 27954, 11, 40
223, 2, 5430, 5358, 28183, 4, 5
81, 2, 460, 429, 5339, 18, 11
34, 1, 56, 46, 441, 9, 7
9, 2, 3, 2, 263, 1, 65
142, 2, 3425, 3285, 27427, 10, 8
12, 3, 32, 0, 309, 1, 9
50, 2, 765, 692, 22333, 1, 29
44, 2, 322, 276, 9527, 9, 29
166, 2, 2637, 2609, 5289, 4, 2
22, 1, 113, 99, 2475, 10, 21
78, 1, 8540, 6554, 453724, 54, 53
22, 1, 275, 232, 7050, 11, 25
31, 1, 522, 468, 9921, 59, 18
180, 2, 8860, 8156, 133156, 40, 15
38, 2, 554, 465, 17118, 3, 30
13, 1, 25, 23, 828, 4, 31
12, 2, 521, 0, 71163, 1, 136
52, 3, 1922, 1649, 87460, 1, 45
41, 2, 749, 664, 25567, 2, 34
50, 3, 553, 525, 5596, 7, 10
39, 2, 854, 609, 44846, 3, 52
24, 1, 1058, 820, 52928, 45, 49
33, 2, 2874, 1723, 227185, 281, 79
16, 1, 76, 74, 898, 4, 11
133, 2, 1908, 0, 11482, 1, 6
18, 3, 1086, 0, 84658, 1, 77
43, 2, 483, 453, 6009, 5, 12
53, 2, 199, 192, 1173, 9, 5
32, 2, 40, 40, 397, 1, 9
42, 1, 778, 509, 37626, 15, 48
44, 2, 467, 460, 1249, 7, 2
108, 2, 3084, 2972, 28238, 11, 9
39, 2, 251, 0, 7723, 1, 30
33, 2, 274, 0, 93, 1, 0
53, 2, 669, 668, 7544, 1, 11
31, 3, 1234, 857, 81233, 32, 65
118, 2, 1134, 0, 16397, 1, 14
18, 1, 132, 112, 3915, 6, 29
34, 1, 704, 628, 20396, 8, 28
25, 2, 375, 282, 22842, 11, 60
34, 1, 877, 731, 45204, 5, 51
91, 2, 926, 856, 15965, 13, 17
18, 3, 799, 518, 60930, 37, 76
30, 1, 488, 394, 16753, 37, 34
34, 1, 299, 0, 836, 1, 2
11, 3, 5476, 2097, 1002404, 13, 183
125, 1, 1195, 1151, 6834, 3, 5
45, 2, 59, 0, 117, 1, 1
101, 2, 1626, 1539, 19056, 9, 11
71, 2, 990, 912, 16474, 18, 16
14, 1, 107, 81, 5703, 41, 52
28, 1, 585, 394, 32930, 11, 56
25, 1, 287, 236, 13598, 73, 47
83, 1, 979, 952, 4619, 1, 4
117, 2, 933, 911, 5239, 4, 5
16, 2, 43, 0, 222, 1, 5
163, 2, 6187, 0, 119657, 1, 19
22, 3, 3945, 2116, 475390, 8, 120
11, 2, 32, 0, 96, 1, 2
