repo, licenses, total files, total lines, holes, holes * inherited members
l2jfreya123, ?/Custom, 1523, 387537, 143395, 14925143
tahuya-road, ?/Custom, 1042, 114222, 38504, 865937
volatileengine, ?, 118, 12027, 4278, 50679
openprocesslogger, ?, 96, 14139, 5439, 46429
tinwiki, ?/Apache, 205, 28364, 8007, 106509
seamlets, ?/Apache, 287, 13187, 4764, 36779
jhsheets, ?, 136, 11050, 3922, 217256
gloodb, ?, 606, 33583, 11708, 54542
rsbotownversion, ?/Apache, 308, 227599, 93154, 44681153
joodbms, ?, 9, 804, 295, 3204
ouroboroswiki, ?, 88, 7650, 3020, 52141
xiaonei-java-api, ?, 168, 8513, 2370, 29231
go-faster-stripes-for-ambienttalk, ?/Apache, 593, 60112, 18604, 2233225
simplextensions, ?, 1014, 15020, 5269, 96577
ircrpgbot, ?, 60, 15454, 4907, 448240
inginf93, ?, 812, 28730, 10735, 1610227
designpatternjavapedro, ?, 56, 1835, 633, 1342
swe574-group3, ?, 33, 3703, 1533, 11160
it1901gruppe5, ?, 34, 8913, 3065, 1727279
jcontenedor, ?, 174, 11154, 3616, 55914
theforbiddensword, ?, 65, 5295, 2110, 871825
oop-game-rts-draft, ?, 136, 15532, 5180, 114663
maps-sunspot-project, ?, 66, 7960, 2648, 15654
fswuniceubtemplates, ?, 67, 4372, 1361, 9375
ftpserverremoteadmin, ?/Apache, 114, 14240, 4998, 127300
p2psl, ?, 72, 8042, 2647, 568135
quidsee, Apache/?, 72, 3461, 1419, 552993
serponix, ?/Custom, 101, 16166, 5625, 848553
nbtostring, ?, 21, 4000, 1419, 444237
strudem-sicsa, ?, 64, 14201, 4816, 705072
lppdb, ?, 210, 9047, 3528, 1774694
groolight, ?, 4, 228, 90, 965
javasummerframework, ?, 325, 49168, 19601, 739498
xfuze, ?, 154, 6694, 2260, 13917
sistema-estagios-utfpr, ?, 19, 1159, 417, 1987
ohell-cardgame, ?, 99, 12363, 4614, 1611861
navigablep2p, ?, 48, 2787, 1012, 0
simple-gdata-maps-java-client, ?, 13, 1007, 415, 0
dovetaildb, ?/Apache, 139, 28439, 11042, 166375
lwjgl-simplesoundengine, ?, 50, 16703, 6523, 223209
qwikioffice-java, ?/Custom, 49, 9797, 3377, 25674
project-pt-diaoc, ?, 266, 40106, 16082, 6539716
robotsimulator2009w, ?, 92, 14009, 4613, 82518
snapsation-test-machine, ?, 75, 3545, 1530, 244
fms-action-server, ?, 31, 2355, 947, 285209
euler-by-jorn, ?, 86, 5149, 2008, 12740
exogdx, ?, 12, 1394, 544, 149698
onemanga-android, ?, 10, 1519, 597, 0
jvm-sb-2012-1, , 85, 0, 0, 0
gwt-masterview, ?, 30, 2787, 1031, 7491
math-mech-eshop, ?, 41, 3889, 1462, 8468
senai-pe-cronos, ?, 218, 21882, 8370, 4124070
seclust, ?, 17, 5355, 2074, 12
smashwordsapi, ?, 35, 3469, 1342, 4417
sjeeapp, ?, 27, 1458, 539, 342
system-de-reservation-si3-2011, ?, 15, 2062, 737, 0
saferjava, ?, 214, 24619, 7617, 228254
practicasprofecionalizantes2009mdp, ?, 57, 7963, 3070, 1662558
jeekoka, ?, 117, 10668, 3503, 12765
sol-agent-platform, ?/GPL/Custom, 163, 47262, 16631, 3006504
wicketbits, ?, 144, 2511, 899, 1923
projetolabellesoft, ?, 58, 8418, 3552, 1612505
teammates-shakthi, ?, 70, 14167, 5163, 127862
largemail, ?, 25, 3457, 1203, 4719
prueba-version-ed-cozar, ?, 1, 100, 25, 0
ws-persistance-dm8183-group3, ?, 46, 6990, 2631, 369351
kollider2d, ?, 13, 4317, 1356, 2006
wggds-web-service-io, ?, 30, 3462, 1316, 17890
lsp-bighead, ?, 23, 1765, 617, 2021
octopususb, ?, 40, 2386, 869, 8249
jtextfileparser, ?, 51, 2067, 655, 3718
jata4test, ?, 76, 3355, 1321, 23479
